,Gender,Married,Dependents,Education,Self_Employed,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,Total_Income
0,Male,No,0,Graduate,No,128.0,360.0,1.0,Urban,Y,5849.0
1,Male,Yes,1,Graduate,No,128.0,360.0,1.0,Rural,N,6091.0
2,Male,Yes,0,Graduate,Yes,66.0,360.0,1.0,Urban,Y,3000.0
3,Male,Yes,0,Not Graduate,No,120.0,360.0,1.0,Urban,Y,4941.0
4,Male,No,0,Graduate,No,141.0,360.0,1.0,Urban,Y,6000.0
5,Male,Yes,2,Graduate,Yes,267.0,360.0,1.0,Urban,Y,9613.0
6,Male,Yes,0,Not Graduate,No,95.0,360.0,1.0,Urban,Y,3849.0
7,Male,Yes,3+,Graduate,No,158.0,360.0,0.0,Semiurban,N,5540.0
8,Male,Yes,2,Graduate,No,168.0,360.0,1.0,Urban,Y,5532.0
9,Male,Yes,1,Graduate,No,349.0,360.0,1.0,Semiurban,N,23809.0
10,Male,Yes,2,Graduate,No,70.0,360.0,1.0,Urban,Y,3900.0
11,Male,Yes,2,Graduate,No,109.0,360.0,1.0,Urban,Y,4340.0
12,Male,Yes,2,Graduate,No,200.0,360.0,1.0,Urban,Y,11179.0
13,Male,No,0,Graduate,No,114.0,360.0,1.0,Rural,N,4693.0
14,Male,Yes,2,Graduate,No,17.0,120.0,1.0,Urban,Y,2385.0
15,Male,No,0,Graduate,No,125.0,360.0,1.0,Urban,Y,4950.0
16,Male,No,1,Not Graduate,No,100.0,240.0,0.8421985815602837,Urban,Y,3596.0
17,Female,No,0,Graduate,No,76.0,360.0,0.0,Urban,N,3510.0
18,Male,Yes,0,Not Graduate,No,133.0,360.0,1.0,Rural,N,4887.0
19,Male,Yes,0,Graduate,No,115.0,360.0,1.0,Urban,Y,6100.0
20,Male,Yes,0,Not Graduate,No,104.0,360.0,0.0,Urban,N,7660.0
21,Male,Yes,1,Graduate,No,315.0,360.0,1.0,Urban,Y,11580.0
22,Male,Yes,0,Not Graduate,No,116.0,360.0,0.0,Semiurban,N,4511.0
23,Male,Yes,2,Not Graduate,No,112.0,360.0,0.0,Rural,N,5282.0
24,Male,Yes,1,Graduate,No,151.0,360.0,0.8421985815602837,Semiurban,N,6642.0
25,Male,Yes,0,Graduate,Yes,191.0,360.0,1.0,Semiurban,Y,9560.0
26,Male,Yes,0,Graduate,No,122.0,360.0,1.0,Semiurban,Y,5052.0
27,Male,Yes,2,Not Graduate,No,110.0,360.0,1.0,Urban,Y,5266.0
28,Male,No,0,Not Graduate,No,35.0,360.0,1.0,Urban,N,1442.0
29,Female,No,2,Graduate,No,120.0,360.0,1.0,Semiurban,Y,5833.0
30,Male,Yes,1,Graduate,No,201.0,360.0,0.8421985815602837,Urban,N,7535.0
31,Male,No,0,Graduate,No,74.0,360.0,1.0,Urban,N,3167.0
32,Male,No,1,Graduate,Yes,106.0,360.0,1.0,Rural,N,4692.0
33,Male,Yes,0,Graduate,No,114.0,360.0,1.0,Semiurban,Y,5167.0
34,Male,No,3+,Graduate,No,320.0,360.0,1.0,Rural,N,15500.0
35,Male,Yes,0,Graduate,No,128.0,360.0,1.0,Urban,Y,4342.0
36,Male,Yes,0,Graduate,No,100.0,360.0,0.0,Urban,N,3158.0
37,Female,Yes,0,Graduate,No,144.0,360.0,1.0,Semiurban,Y,5126.0
38,Male,No,0,Graduate,No,184.0,360.0,1.0,Urban,Y,11376.0
39,Male,No,0,Not Graduate,No,110.0,360.0,1.0,Semiurban,Y,5416.0
40,Male,No,0,Graduate,No,80.0,360.0,1.0,Urban,N,3600.0
41,Male,No,0,Graduate,No,47.0,360.0,1.0,Urban,Y,3013.0
42,Male,Yes,0,Graduate,No,75.0,360.0,0.8421985815602837,Urban,Y,2400.0
43,Male,Yes,0,Graduate,No,134.0,360.0,1.0,Semiurban,Y,6277.0
44,Male,Yes,0,Not Graduate,Yes,96.0,360.0,1.0,Urban,Y,4695.0
45,Female,No,0,Graduate,No,88.0,360.0,1.0,Urban,Y,3410.0
46,Male,Yes,1,Graduate,No,44.0,360.0,1.0,Urban,Y,5649.0
47,Male,Yes,0,Graduate,No,144.0,360.0,1.0,Urban,Y,5821.0
48,Female,Yes,0,Graduate,No,120.0,360.0,0.0,Urban,N,6085.0
49,Female,No,0,Graduate,No,144.0,360.0,1.0,Semiurban,Y,6275.0
50,Female,Yes,0,Not Graduate,No,100.0,360.0,1.0,Semiurban,Y,3572.0
51,Female,No,0,Graduate,No,120.0,360.0,1.0,Semiurban,Y,3086.0
52,Female,No,0,Graduate,No,112.0,360.0,1.0,Semiurban,N,4230.0
53,Male,Yes,2,Graduate,No,134.0,360.0,1.0,Urban,N,4616.0
54,Female,Yes,1,Graduate,Yes,286.0,360.0,0.0,Urban,N,11500.0
55,Male,Yes,2,Graduate,No,97.0,360.0,1.0,Semiurban,Y,3875.0
56,Male,Yes,0,Graduate,No,96.0,360.0,1.0,Semiurban,Y,3723.0
57,Male,Yes,0,Graduate,No,135.0,360.0,1.0,Rural,N,5566.0
58,Male,Yes,1,Graduate,No,180.0,360.0,1.0,Urban,Y,10330.0
59,Male,Yes,2,Not Graduate,No,144.0,360.0,1.0,Urban,Y,6216.0
60,Male,Yes,0,Graduate,No,120.0,360.0,1.0,Urban,Y,6296.0
61,Male,Yes,3+,Graduate,No,99.0,360.0,1.0,Urban,Y,3029.0
62,Male,Yes,0,Not Graduate,Yes,165.0,180.0,0.0,Rural,N,6058.0
63,Male,Yes,1,Graduate,No,128.0,360.0,0.0,Rural,N,4945.0
64,Female,No,0,Graduate,No,116.0,360.0,0.0,Semiurban,N,4166.0
65,Male,Yes,0,Graduate,No,258.0,360.0,1.0,Semiurban,N,10321.0
66,Male,No,0,Not Graduate,No,126.0,180.0,0.0,Urban,N,5454.0
67,Male,Yes,1,Graduate,No,312.0,360.0,1.0,Urban,Y,10750.0
68,Male,Yes,3+,Not Graduate,Yes,125.0,60.0,1.0,Urban,Y,7100.0
69,Female,No,0,Graduate,No,136.0,360.0,0.0,Semiurban,N,4300.0
70,Male,Yes,0,Graduate,No,172.0,360.0,1.0,Urban,Y,6274.0
71,Male,Yes,2,Not Graduate,Yes,97.0,360.0,1.0,Semiurban,Y,3750.0
72,Male,No,0,Graduate,No,81.0,300.0,1.0,Semiurban,Y,3500.0
73,Male,Yes,3+,Not Graduate,No,95.0,360.0,0.0,Semiurban,N,4755.0
74,Male,Yes,3+,Graduate,Yes,187.0,360.0,1.0,Semiurban,Y,7040.0
75,Male,No,0,Graduate,No,113.0,480.0,1.0,Urban,N,3750.0
76,Male,No,0,Graduate,No,176.0,360.0,1.0,Urban,N,8500.0
77,Male,Yes,1,Graduate,Yes,110.0,360.0,1.0,Urban,N,4022.0
78,Male,Yes,3+,Graduate,No,180.0,300.0,0.0,Semiurban,N,7167.0
79,Male,Yes,3+,Not Graduate,Yes,130.0,360.0,0.8421985815602837,Semiurban,Y,5499.0
80,Female,No,0,Graduate,No,111.0,360.0,1.0,Semiurban,Y,3846.0
81,Male,Yes,1,Graduate,Yes,128.0,360.0,1.0,Semiurban,Y,2395.0
82,Female,Yes,2,Graduate,No,167.0,360.0,1.0,Urban,N,3259.0
83,Male,Yes,0,Graduate,No,265.0,360.0,0.8421985815602837,Semiurban,N,8250.0
84,Male,Yes,1,Graduate,No,50.0,240.0,1.0,Urban,Y,3988.0
85,Male,No,0,Graduate,No,136.0,360.0,1.0,Semiurban,Y,4897.0
86,Male,Yes,2,Not Graduate,No,99.0,360.0,0.8421985815602837,Semiurban,Y,5333.0
87,Male,Yes,0,Graduate,No,104.0,360.0,1.0,Semiurban,Y,4618.0
88,Male,No,0,Graduate,No,210.0,360.0,1.0,Urban,Y,8566.0
89,Male,Yes,0,Graduate,No,175.0,360.0,1.0,Semiurban,Y,9862.0
90,Male,Yes,0,Graduate,No,131.0,360.0,1.0,Semiurban,Y,5858.0
91,Male,Yes,2,Graduate,No,188.0,180.0,1.0,Semiurban,Y,11904.0
92,Male,Yes,2,Not Graduate,No,81.0,360.0,1.0,Urban,Y,5093.0
93,Male,No,0,Graduate,No,122.0,360.0,1.0,Semiurban,Y,4133.0
94,Male,No,0,Not Graduate,No,25.0,120.0,1.0,Semiurban,Y,3620.0
95,Male,No,0,Graduate,No,128.0,360.0,0.8421985815602837,Urban,N,6782.0
96,Female,Yes,0,Graduate,No,137.0,360.0,1.0,Semiurban,Y,4786.0
97,Male,Yes,0,Graduate,No,50.0,360.0,1.0,Semiurban,Y,2974.0
98,Male,Yes,0,Not Graduate,No,115.0,180.0,1.0,Semiurban,Y,4188.0
99,Male,Yes,0,Graduate,No,131.0,360.0,1.0,Semiurban,Y,5300.0
100,Male,Yes,2,Not Graduate,No,133.0,180.0,1.0,Urban,Y,7551.0
101,Male,No,0,Graduate,No,151.0,360.0,1.0,Semiurban,Y,8649.0
102,Male,Yes,0,Graduate,No,128.0,360.0,1.0,Urban,Y,13650.0
103,Male,Yes,0,Graduate,No,128.0,360.0,1.0,Semiurban,Y,8235.0
104,Male,Yes,0,Graduate,No,160.0,360.0,1.0,Urban,Y,4570.0
105,Male,Yes,1,Graduate,No,100.0,360.0,1.0,Urban,Y,4082.0
106,Male,Yes,2,Graduate,No,225.0,360.0,1.0,Urban,Y,12543.0
107,Male,No,0,Not Graduate,No,120.0,360.0,1.0,Rural,N,7333.0
108,Male,Yes,2,Graduate,No,216.0,360.0,0.0,Urban,N,7400.0
109,Male,Yes,3+,Not Graduate,No,94.0,480.0,1.0,Semiurban,Y,2825.0
110,Male,No,0,Graduate,No,136.0,360.0,1.0,Urban,Y,5316.0
111,Female,Yes,0,Graduate,No,139.0,360.0,1.0,Semiurban,Y,5262.0
112,Male,Yes,0,Not Graduate,No,152.0,360.0,0.0,Rural,N,7686.0
113,Female,No,1,Graduate,Yes,128.0,360.0,1.0,Semiurban,Y,7451.0
114,Male,No,0,Graduate,No,118.0,360.0,1.0,Semiurban,Y,5050.0
115,Male,Yes,1,Graduate,No,185.0,180.0,1.0,Rural,Y,14583.0
116,Female,Yes,0,Graduate,No,154.0,360.0,1.0,Semiurban,Y,5450.0
117,Male,Yes,1,Graduate,No,85.0,360.0,0.8421985815602837,Urban,Y,3612.0
118,Male,Yes,0,Graduate,No,175.0,360.0,1.0,Rural,N,7710.0
119,Female,No,0,Graduate,No,259.0,360.0,1.0,Urban,Y,10408.0
120,Male,Yes,0,Graduate,No,180.0,360.0,1.0,Rural,Y,8334.0
121,Female,No,0,Graduate,No,44.0,360.0,1.0,Semiurban,Y,4166.0
122,Female,No,0,Graduate,No,137.0,360.0,0.0,Semiurban,Y,11117.0
123,Male,Yes,2,Graduate,No,81.0,360.0,1.0,Semiurban,Y,2957.0
124,Male,Yes,0,Not Graduate,No,194.0,360.0,1.0,Rural,Y,6314.0
125,Female,No,0,Graduate,No,93.0,360.0,0.8421985815602837,Rural,Y,3692.0
126,Male,Yes,3+,Graduate,No,370.0,360.0,1.0,Rural,Y,23803.0
127,Male,No,0,Graduate,No,128.0,360.0,1.0,Rural,Y,5505.0
128,Male,Yes,1,Graduate,Yes,160.0,180.0,0.0,Urban,N,14363.0
129,Male,Yes,0,Graduate,No,182.0,360.0,0.8421985815602837,Rural,N,8649.0
130,Male,No,0,Graduate,Yes,650.0,480.0,0.8421985815602837,Urban,Y,20166.0
131,Male,No,0,Graduate,No,74.0,360.0,1.0,Urban,Y,3943.0
132,Male,No,0,Graduate,No,70.0,360.0,1.0,Semiurban,Y,2718.0
133,Male,Yes,0,Graduate,Yes,25.0,120.0,1.0,Semiurban,Y,3459.0
134,Male,No,0,Graduate,No,102.0,360.0,1.0,Semiurban,Y,4895.0
135,Male,Yes,3+,Graduate,No,290.0,360.0,1.0,Semiurban,N,11750.0
136,Female,Yes,0,Graduate,No,84.0,360.0,1.0,Rural,N,4583.0
137,Male,Yes,2,Graduate,Yes,88.0,360.0,1.0,Urban,Y,6816.0
138,Male,No,0,Graduate,No,242.0,360.0,0.0,Semiurban,N,14999.0
139,Male,Yes,2,Not Graduate,No,129.0,360.0,1.0,Rural,N,5630.0
140,Male,Yes,2,Graduate,No,185.0,360.0,1.0,Rural,N,7125.0
141,Male,No,0,Graduate,No,168.0,360.0,1.0,Urban,Y,5417.0
142,Male,No,0,Graduate,Yes,175.0,180.0,1.0,Semiurban,Y,6950.0
143,Male,Yes,0,Graduate,No,122.0,360.0,1.0,Semiurban,Y,4732.0
144,Male,Yes,2,Graduate,No,187.0,180.0,1.0,Urban,Y,11757.0
145,Female,Yes,0,Graduate,No,100.0,360.0,1.0,Semiurban,Y,6816.0
146,Female,Yes,2,Graduate,No,70.0,360.0,1.0,Urban,Y,14866.0
147,Male,Yes,1,Graduate,No,30.0,360.0,1.0,Urban,Y,2963.0
148,Female,No,0,Graduate,No,225.0,360.0,1.0,Rural,N,11666.0
149,Male,Yes,0,Graduate,No,125.0,360.0,1.0,Semiurban,Y,5690.0
150,Male,No,0,Graduate,No,118.0,360.0,0.0,Rural,N,6277.0
151,Male,Yes,0,Graduate,Yes,152.0,360.0,1.0,Rural,Y,6327.0
152,Male,No,0,Graduate,No,244.0,360.0,1.0,Urban,N,9166.0
153,Male,Yes,2,Not Graduate,No,113.0,360.0,1.0,Rural,N,2281.0
154,Male,No,0,Graduate,No,50.0,360.0,1.0,Urban,Y,3254.0
155,Male,Yes,3+,Graduate,No,600.0,180.0,0.0,Semiurban,Y,39999.0
156,Male,Yes,1,Graduate,No,160.0,360.0,0.8421985815602837,Rural,Y,6000.0
157,Male,Yes,1,Graduate,No,187.0,360.0,1.0,Urban,Y,9538.0
158,Male,No,0,Graduate,No,120.0,360.0,1.0,Rural,Y,5063.0
159,Male,Yes,0,Graduate,No,255.0,360.0,1.0,Semiurban,Y,10208.0
160,Male,Yes,0,Not Graduate,No,98.0,360.0,1.0,Semiurban,Y,2904.0
161,Male,Yes,0,Graduate,No,275.0,360.0,1.0,Urban,N,7933.0
162,Male,Yes,1,Graduate,No,121.0,360.0,0.0,Semiurban,N,4369.0
163,Male,Yes,2,Graduate,No,158.0,360.0,1.0,Rural,Y,5614.0
164,Male,Yes,0,Graduate,No,75.0,180.0,1.0,Urban,Y,9323.0
165,Male,Yes,0,Graduate,No,182.0,360.0,1.0,Rural,Y,6873.0
166,Female,Yes,0,Graduate,No,112.0,360.0,1.0,Rural,N,4583.0
167,Male,Yes,0,Graduate,No,129.0,360.0,1.0,Rural,Y,5772.0
168,Male,No,0,Graduate,No,63.0,480.0,0.0,Semiurban,N,2237.0
169,Male,Yes,2,Graduate,No,200.0,360.0,1.0,Semiurban,Y,8000.0
170,Male,Yes,0,Not Graduate,No,95.0,360.0,1.0,Rural,Y,3589.0
171,Male,Yes,3+,Graduate,No,700.0,300.0,1.0,Urban,Y,51763.0
172,Male,Yes,3+,Not Graduate,No,81.0,180.0,1.0,Rural,N,3522.0
173,Male,Yes,0,Graduate,No,187.0,360.0,1.0,Semiurban,Y,11333.0
174,Male,Yes,0,Not Graduate,Yes,87.0,360.0,1.0,Semiurban,N,5080.0
175,Male,Yes,0,Graduate,No,116.0,360.0,1.0,Rural,Y,5461.0
176,Male,Yes,2,Graduate,No,101.0,360.0,1.0,Rural,Y,3664.0
177,Male,Yes,3+,Graduate,No,495.0,360.0,0.0,Semiurban,N,16816.0
178,Male,Yes,1,Graduate,No,116.0,360.0,1.0,Semiurban,Y,3750.0
179,Male,No,0,Not Graduate,No,102.0,480.0,0.0,Urban,N,3784.0
180,Male,Yes,1,Graduate,No,180.0,360.0,0.0,Urban,N,13650.0
181,Male,No,0,Graduate,No,67.0,360.0,0.8421985815602837,Rural,N,6979.0
182,Male,Yes,0,Graduate,No,73.0,180.0,1.0,Semiurban,Y,4600.0
183,Male,Yes,1,Graduate,No,260.0,360.0,1.0,Semiurban,N,33846.0
184,Female,Yes,0,Graduate,No,108.0,360.0,1.0,Semiurban,Y,3625.0
185,Male,Yes,0,Graduate,Yes,120.0,360.0,1.0,Semiurban,Y,43897.0
186,Male,Yes,1,Graduate,Yes,66.0,300.0,0.0,Rural,N,2178.0
187,Male,Yes,0,Graduate,No,58.0,360.0,0.8421985815602837,Rural,Y,4521.0
188,Male,Yes,0,Graduate,Yes,168.0,360.0,1.0,Rural,Y,5970.0
189,Male,Yes,0,Graduate,No,188.0,180.0,1.0,Rural,Y,9328.0
190,Male,No,0,Not Graduate,No,48.0,360.0,1.0,Rural,Y,4885.0
191,Male,No,0,Graduate,No,164.0,360.0,1.0,Semiurban,N,12000.0
192,Male,Yes,0,Not Graduate,No,160.0,360.0,1.0,Urban,N,6033.0
193,Male,No,0,Graduate,No,76.0,360.0,1.0,Semiurban,Y,3858.0
194,Male,No,0,Graduate,No,120.0,360.0,1.0,Rural,Y,4191.0
195,Male,Yes,1,Graduate,No,170.0,360.0,1.0,Semiurban,N,5708.0
196,Male,No,0,Graduate,No,187.0,360.0,1.0,Rural,Y,12083.0
197,Female,No,0,Not Graduate,No,120.0,360.0,1.0,Urban,Y,4272.0
198,Female,Yes,0,Graduate,No,113.0,360.0,0.8421985815602837,Semiurban,Y,6232.0
199,Male,No,0,Graduate,Yes,83.0,360.0,1.0,Urban,N,11000.0
200,Male,Yes,1,Not Graduate,No,90.0,360.0,1.0,Semiurban,Y,5100.0
201,Male,No,2,Graduate,No,166.0,360.0,0.0,Semiurban,Y,4923.0
202,Male,Yes,3+,Not Graduate,No,128.0,180.0,1.0,Urban,N,3992.0
203,Male,Yes,1,Not Graduate,No,135.0,360.0,1.0,Urban,Y,4583.0
204,Male,Yes,2,Not Graduate,No,124.0,360.0,1.0,Semiurban,Y,3917.0
205,Female,No,0,Not Graduate,No,120.0,360.0,1.0,Semiurban,Y,4408.0
206,Female,No,0,Graduate,No,80.0,360.0,1.0,Urban,Y,3244.0
207,Male,No,0,Not Graduate,No,55.0,360.0,1.0,Rural,Y,6506.0
208,Male,No,0,Graduate,No,59.0,360.0,1.0,Urban,Y,2479.0
209,Male,No,0,Graduate,No,127.0,360.0,1.0,Semiurban,N,3418.0
210,Female,No,0,Graduate,No,214.0,360.0,1.0,Semiurban,N,10000.0
211,Male,Yes,3+,Graduate,No,128.0,360.0,0.0,Semiurban,N,4680.0
212,Male,Yes,1,Graduate,Yes,240.0,360.0,1.0,Urban,Y,7787.0
213,Male,Yes,3+,Not Graduate,Yes,130.0,360.0,1.0,Rural,Y,5703.0
214,Male,Yes,0,Graduate,No,137.0,360.0,1.0,Urban,Y,6194.0
215,Male,Yes,3+,Not Graduate,No,100.0,360.0,1.0,Semiurban,Y,4833.0
216,Male,Yes,0,Graduate,No,135.0,360.0,1.0,Rural,N,1950.0
217,Male,Yes,0,Graduate,No,131.0,360.0,1.0,Semiurban,Y,5502.0
218,Male,Yes,2,Graduate,No,72.0,360.0,0.0,Semiurban,N,5000.0
219,Female,Yes,2,Graduate,No,127.0,360.0,0.8421985815602837,Semiurban,Y,6666.0
220,Male,Yes,0,Graduate,No,60.0,360.0,0.0,Urban,N,2221.0
221,Male,Yes,2,Graduate,No,116.0,360.0,1.0,Semiurban,Y,5726.0
222,Male,No,0,Graduate,No,144.0,360.0,1.0,Semiurban,Y,5762.0
223,Male,Yes,0,Graduate,No,175.0,360.0,1.0,Semiurban,Y,8588.0
224,Male,Yes,0,Graduate,No,128.0,360.0,1.0,Semiurban,Y,6250.0
225,Male,Yes,0,Graduate,No,170.0,360.0,1.0,Rural,N,3250.0
226,Male,Yes,0,Not Graduate,Yes,138.0,360.0,1.0,Urban,N,4735.0
227,Male,Yes,2,Graduate,No,210.0,360.0,1.0,Semiurban,Y,7945.0
228,Male,Yes,0,Graduate,No,158.0,480.0,1.0,Semiurban,Y,4758.0
229,Male,No,0,Graduate,Yes,200.0,360.0,1.0,Rural,Y,6400.0
230,Male,Yes,1,Graduate,No,104.0,360.0,1.0,Semiurban,Y,4545.0
231,Male,Yes,0,Graduate,No,42.0,180.0,1.0,Rural,Y,3716.0
232,Male,No,0,Not Graduate,No,120.0,360.0,1.0,Rural,Y,5787.0
233,Female,No,0,Graduate,No,280.0,360.0,1.0,Semiurban,Y,8333.0
234,Male,Yes,1,Graduate,No,140.0,360.0,1.0,Semiurban,Y,4934.0
235,Male,Yes,1,Graduate,No,170.0,360.0,1.0,Rural,Y,6760.0
236,Male,Yes,0,Graduate,No,255.0,360.0,0.8421985815602837,Urban,N,5746.0
237,Female,No,0,Graduate,Yes,122.0,360.0,0.8421985815602837,Urban,Y,3463.0
238,Female,No,1,Graduate,No,112.0,360.0,1.0,Rural,Y,3812.0
239,Male,Yes,1,Graduate,No,96.0,360.0,1.0,Semiurban,Y,3315.0
240,Male,Yes,2,Graduate,No,120.0,360.0,1.0,Rural,Y,10819.0
241,Male,Yes,1,Not Graduate,No,140.0,180.0,1.0,Urban,N,4493.0
242,Male,No,0,Graduate,No,155.0,60.0,1.0,Urban,Y,8666.0
243,Male,Yes,2,Graduate,Yes,108.0,360.0,1.0,Rural,Y,7550.0
244,Male,Yes,0,Not Graduate,No,123.0,360.0,1.0,Semiurban,Y,7823.0
245,Male,No,0,Graduate,Yes,120.0,180.0,1.0,Urban,N,10383.0
246,Male,Yes,2,Graduate,No,112.0,360.0,1.0,Urban,Y,9703.0
247,Male,Yes,1,Not Graduate,No,137.0,180.0,1.0,Urban,Y,6608.0
248,Male,Yes,1,Graduate,No,123.0,480.0,1.0,Semiurban,Y,4725.0
249,Male,Yes,0,Graduate,No,90.0,360.0,1.0,Urban,Y,3677.0
250,Male,Yes,0,Not Graduate,No,201.0,360.0,0.0,Semiurban,N,5558.0
251,Female,No,2,Graduate,No,138.0,360.0,1.0,Urban,N,3427.0
252,Male,No,0,Not Graduate,Yes,104.0,360.0,1.0,Rural,Y,4750.0
253,Male,Yes,1,Not Graduate,No,279.0,180.0,1.0,Semiurban,Y,9762.0
254,Male,No,0,Graduate,Yes,192.0,360.0,0.0,Urban,N,16250.0
255,Female,No,3+,Graduate,No,255.0,360.0,1.0,Rural,Y,3083.0
256,Male,No,0,Not Graduate,No,115.0,360.0,0.0,Rural,N,6045.0
257,Male,Yes,3+,Graduate,No,94.0,360.0,1.0,Urban,N,5250.0
258,Male,Yes,0,Graduate,No,304.0,360.0,1.0,Rural,N,16783.0
259,Male,Yes,3+,Not Graduate,No,128.0,360.0,0.8421985815602837,Semiurban,N,4931.0
260,Male,Yes,1,Graduate,No,330.0,360.0,0.8421985815602837,Urban,Y,10333.0
261,Male,No,0,Graduate,No,134.0,360.0,1.0,Semiurban,Y,4269.0
262,Female,No,1,Graduate,No,155.0,36.0,1.0,Semiurban,N,3481.0
263,Female,No,0,Graduate,No,120.0,360.0,1.0,Rural,Y,7200.0
264,Male,No,0,Graduate,Yes,128.0,360.0,1.0,Semiurban,Y,5166.0
265,Male,No,0,Graduate,No,151.0,360.0,1.0,Rural,Y,7542.0
266,Male,Yes,2,Graduate,No,150.0,360.0,1.0,Semiurban,Y,6095.0
267,Male,Yes,3+,Graduate,No,160.0,360.0,0.0,Urban,Y,6144.0
268,Female,No,0,Graduate,No,135.0,360.0,1.0,Rural,N,3418.0
269,Female,No,1,Graduate,No,90.0,360.0,1.0,Urban,Y,4436.0
270,Female,No,0,Graduate,No,30.0,360.0,1.0,Urban,Y,3237.0
271,Male,Yes,0,Graduate,No,136.0,360.0,1.0,Urban,Y,11146.0
272,Male,No,0,Graduate,No,126.0,360.0,1.0,Rural,Y,4690.0
273,Male,Yes,0,Graduate,No,150.0,360.0,1.0,Semiurban,Y,4843.0
274,Male,Yes,2,Graduate,No,90.0,360.0,1.0,Semiurban,Y,3900.0
275,Male,Yes,1,Graduate,No,115.0,360.0,1.0,Semiurban,Y,4592.0
276,Male,Yes,0,Graduate,No,207.0,360.0,1.0,Semiurban,Y,7267.0
277,Male,Yes,0,Graduate,No,80.0,360.0,1.0,Urban,Y,4403.0
278,Male,Yes,0,Graduate,No,436.0,360.0,1.0,Semiurban,Y,14583.0
279,Female,Yes,0,Not Graduate,No,124.0,360.0,0.8421985815602837,Rural,Y,4100.0
280,Male,No,1,Not Graduate,Yes,158.0,360.0,0.0,Urban,N,6479.0
281,Male,Yes,0,Graduate,No,112.0,360.0,1.0,Semiurban,Y,4727.0
282,Male,Yes,2,Graduate,No,78.0,180.0,1.0,Urban,Y,3286.7999878
283,Female,No,0,Graduate,No,54.0,360.0,1.0,Urban,Y,3477.0
284,Male,Yes,0,Graduate,No,128.0,360.0,1.0,Rural,N,20667.0
285,Male,No,0,Graduate,No,89.0,360.0,1.0,Rural,Y,6211.0
286,Female,No,0,Graduate,Yes,99.0,300.0,1.0,Semiurban,N,4317.0
287,Male,Yes,0,Graduate,No,120.0,360.0,1.0,Rural,Y,5704.0
288,Female,No,0,Graduate,No,115.0,360.0,1.0,Semiurban,Y,4124.0
289,Male,No,0,Graduate,No,187.0,360.0,1.0,Rural,Y,9508.0
290,Male,Yes,0,Graduate,No,139.0,360.0,1.0,Rural,Y,5491.0
291,Male,Yes,2,Graduate,No,127.0,360.0,0.0,Semiurban,N,4400.0
292,Male,Yes,2,Graduate,No,134.0,360.0,1.0,Urban,Y,4713.0
293,Female,No,0,Graduate,No,143.0,480.0,0.0,Urban,N,5417.0
294,Male,Yes,0,Graduate,No,172.0,360.0,1.0,Semiurban,Y,5717.0
295,Male,Yes,3+,Graduate,No,110.0,360.0,1.0,Urban,Y,5666.0
296,Male,Yes,1,Graduate,No,200.0,360.0,1.0,Semiurban,Y,6875.0
297,Female,Yes,1,Graduate,No,135.0,360.0,1.0,Urban,Y,4666.0
298,Female,No,0,Graduate,No,151.0,480.0,1.0,Rural,N,7541.0
299,Male,Yes,1,Graduate,No,113.0,360.0,1.0,Urban,N,4939.0
300,Male,Yes,0,Not Graduate,No,93.0,360.0,0.0,Urban,N,4734.0
301,Male,Yes,0,Not Graduate,No,105.0,360.0,1.0,Semiurban,Y,4625.0
302,Female,No,0,Graduate,No,132.0,360.0,1.0,Rural,Y,5000.0
303,Male,Yes,1,Graduate,No,96.0,360.0,1.0,Urban,Y,3428.0
304,Male,No,0,Graduate,No,140.0,360.0,1.0,Rural,Y,6500.0
305,Male,No,0,Not Graduate,No,128.0,360.0,1.0,Urban,N,2000.0
306,Female,No,0,Graduate,No,135.0,360.0,1.0,Rural,Y,5428.0
